time,susceptible,infected,hospital,recovered,dead
0,1957,43,0,0,0
1,1922,78,1,0,0
2,1903,97,2,0,0
3,1889,111,2,0,0
4,1883,117,3,0,0
5,1883,117,4,0,0
6,1883,117,5,0,0
7,1883,117,7,0,0
8,1882,118,8,0,0
9,1882,118,8,0,0
10,1882,118,9,0,0
11,1881,119,9,0,0
12,1880,120,10,0,0
13,1879,121,10,0,0
14,1877,123,11,0,0
15,1876,124,11,0,0
16,1871,129,12,0,0
17,1867,133,13,0,0
18,1866,134,14,0,0
19,1865,135,14,0,0
20,1865,135,15,0,0
21,1863,137,15,0,0
22,1863,137,15,0,0
23,1861,139,15,0,0
24,1861,139,16,0,0
25,1861,139,16,0,0
26,1859,141,16,0,0
27,1857,143,16,0,0
28,1856,144,16,0,0
29,1856,144,16,0,0
30,1856,144,17,0,0
31,1855,145,18,0,0
32,1855,145,19,0,0
33,1853,147,20,0,0
34,1852,148,21,0,0
35,1851,149,22,0,0
36,1848,152,23,0,0
37,1846,154,25,0,0
38,1846,154,26,0,0
39,1845,155,26,0,0
40,1842,158,27,0,0
41,1841,159,27,0,0
42,1841,159,27,0,0
43,1841,159,28,0,0
44,1840,160,28,0,0
45,1838,162,29,0,0
46,1837,163,30,0,0
47,1835,165,30,0,0
48,1832,168,32,0,0
49,1831,169,32,0,0
50,1826,174,32,0,0
51,1826,174,32,0,0
52,1825,175,32,0,0
53,1824,176,33,0,0
54,1821,179,34,0,0
55,1819,181,35,0,0
56,1819,181,37,0,0
57,1819,181,38,0,0
58,1819,181,38,0,0
59,1819,181,39,0,0
60,1815,185,39,0,0
61,1814,186,39,0,0
62,1814,186,40,0,0
63,1812,188,40,0,0
64,1808,192,40,0,0
65,1806,194,41,0,0
66,1806,194,41,0,0
67,1804,196,42,0,0
68,1802,198,42,0,0
69,1799,201,42,0,0
70,1798,202,44,0,0
71,1798,202,45,0,0
72,1796,204,45,0,0
73,1790,210,46,0,0
74,1787,213,48,0,0
75,1786,214,48,0,0
76,1786,214,49,0,0
77,1783,217,49,0,0
78,1781,219,49,0,0
79,1780,220,50,0,0
80,1780,220,51,0,0
81,1779,221,51,0,0
82,1778,222,52,0,0
83,1778,222,53,0,0
84,1778,222,53,0,0
85,1775,225,55,0,0
86,1773,227,55,0,0
87,1771,229,55,0,0
88,1768,232,57,0,0
89,1768,232,57,0,0
90,1768,232,59,0,0
91,1767,233,60,0,0
92,1767,233,60,0,0
93,1766,234,60,0,0
94,1765,235,61,0,0
95,1763,237,64,0,0
96,1763,237,65,0,0
97,1763,237,65,0,0
98,1763,237,65,0,0
99,1763,237,66,0,0
100,1761,239,69,0,0
101,1756,244,69,0,0
102,1754,246,69,0,0
103,1754,246,69,0,0
104,1751,249,68,0,0
105,1750,250,67,0,0
106,1748,252,66,0,0
107,1748,252,64,0,0
108,1747,253,64,0,0
109,1746,254,65,0,0
110,1744,256,66,0,0
111,1743,257,66,0,0
112,1743,257,65,0,0
113,1743,257,66,0,0
114,1741,259,65,0,0
115,1739,261,69,0,0
116,1738,262,68,0,0
117,1734,266,68,0,0
118,1732,268,68,0,0
119,1732,268,71,0,0
120,1731,269,70,0,0
121,1731,269,70,0,0
122,1731,269,70,0,0
123,1730,270,72,0,0
124,1729,271,71,0,0
125,1726,274,71,0,0
126,1724,276,72,0,0
127,1722,278,74,0,0
128,1720,280,75,0,0
129,1719,281,77,0,0
130,1715,285,78,0,0
131,1715,285,81,0,0
132,1715,285,80,0,0
133,1715,285,80,0,0
134,1712,288,81,0,0
135,1710,290,81,0,0
136,1707,293,80,0,0
137,1704,296,79,0,0
138,1704,296,79,0,0
139,1703,297,81,0,0
140,1702,298,81,0,0
141,1699,301,82,0,0
142,1696,304,82,0,0
143,1695,305,83,0,0
144,1695,305,84,0,0
145,1694,306,83,0,0
146,1693,307,83,0,0
147,1692,308,84,0,0
148,1691,309,82,0,0
149,1689,311,83,0,0
150,1687,313,83,0,0
151,1682,318,84,0,0
152,1676,324,84,0,0
153,1674,326,84,0,0
154,1673,327,84,0,0
155,1673,327,86,0,0
156,1671,329,87,0,0
157,1669,331,89,0,0
158,1667,333,90,0,0
159,1667,333,91,0,0
160,1666,334,91,0,0
161,1666,334,96,0,0
162,1666,334,97,0,0
163,1666,334,97,0,0
164,1665,335,98,0,0
165,1663,337,99,0,0
166,1663,337,103,0,0
167,1662,338,103,0,0
168,1661,339,103,0,0
169,1659,341,103,0,0
170,1659,341,101,0,0
171,1656,344,100,0,0
172,1654,346,101,0,0
173,1654,346,102,0,0
174,1653,347,101,0,0
175,1651,349,101,0,0
176,1646,354,101,0,0
177,1645,355,101,0,0
178,1644,356,103,0,0
179,1644,356,102,0,0
180,1643,357,105,0,0
181,1640,360,106,0,0
182,1640,360,105,0,0
183,1640,360,105,0,0
184,1639,361,107,0,0
185,1638,362,105,0,0
186,1636,364,108,0,0
187,1635,365,111,0,0
188,1634,366,109,0,0
189,1633,367,112,0,0
190,1628,372,111,0,0
191,1626,374,110,0,0
192,1624,376,110,0,0
193,1622,378,111,0,0
