time,susceptible,infected,hospital,recovered,dead
0,1957,43,0,0,0
1,1904,96,1,0,0
2,1876,124,1,0,0
3,1865,135,2,0,0
4,1862,138,3,0,0
5,1860,140,4,0,0
6,1857,143,5,0,0
7,1857,143,6,0,0
8,1857,143,7,0,0
9,1857,143,9,0,0
10,1857,143,9,0,0
11,1857,143,11,0,0
12,1857,143,11,0,0
13,1857,143,11,0,0
14,1857,143,11,0,0
15,1857,143,12,0,0
16,1857,143,13,0,0
17,1857,143,13,0,0
18,1856,144,13,0,0
19,1854,146,14,0,0
20,1854,146,15,0,0
21,1854,146,17,0,0
22,1854,146,19,0,0
23,1853,147,19,0,0
24,1853,147,21,0,0
25,1853,147,22,0,0
26,1853,147,24,0,0
27,1853,147,25,0,0
28,1853,147,25,0,0
29,1853,147,25,0,0
30,1853,147,25,0,0
31,1852,148,25,0,0
32,1852,148,25,0,0
33,1851,149,26,0,0
34,1851,149,26,0,0
35,1849,151,26,0,0
36,1849,151,27,0,0
37,1849,151,28,0,0
38,1849,151,28,0,0
39,1849,151,28,0,0
40,1849,151,29,0,0
41,1849,151,29,0,0
42,1849,151,29,0,0
43,1849,151,29,0,0
44,1849,151,30,0,0
45,1846,154,31,0,0
46,1845,155,31,0,0
47,1845,155,31,0,0
48,1845,155,31,0,0
49,1845,155,32,0,0
50,1844,156,33,0,0
51,1842,158,33,0,0
52,1842,158,34,0,0
53,1842,158,36,0,0
54,1842,158,36,0,0
55,1840,160,37,0,0
56,1838,162,38,0,0
57,1838,162,39,0,0
58,1838,162,39,0,0
59,1838,162,42,0,0
60,1838,162,42,0,0
61,1837,163,43,0,0
62,1837,163,44,0,0
63,1837,163,45,0,0
64,1834,166,46,0,0
65,1834,166,47,0,0
66,1834,166,47,0,0
67,1834,166,48,0,0
68,1834,166,49,0,0
69,1834,166,49,0,0
70,1834,166,50,0,0
71,1832,168,50,0,0
72,1831,169,52,0,0
73,1831,169,52,0,0
74,1831,169,52,0,0
75,1831,169,53,0,0
76,1831,169,54,0,0
77,1831,169,54,0,0
78,1831,169,54,0,0
79,1831,169,56,0,0
80,1830,170,56,0,0
81,1830,170,56,0,0
82,1830,170,56,0,0
83,1830,170,56,0,0
84,1830,170,58,0,0
85,1830,170,58,0,0
86,1830,170,58,0,0
87,1829,171,59,0,0
88,1829,171,59,0,0
89,1826,174,61,0,0
90,1825,175,62,0,0
91,1825,175,62,0,0
92,1824,176,63,0,0
93,1824,176,63,0,0
94,1824,176,63,0,0
95,1821,179,65,0,0
96,1821,179,66,0,0
97,1820,180,68,0,0
98,1817,183,68,0,0
99,1817,183,68,0,0
100,1816,184,71,0,0
101,1816,184,70,0,0
102,1816,184,71,0,0
103,1816,184,71,0,0
104,1816,184,71,0,0
105,1816,184,71,0,0
106,1816,184,70,0,0
107,1816,184,70,0,0
108,1816,184,69,0,0
109,1816,184,67,0,0
110,1816,184,68,0,0
111,1815,185,67,0,0
112,1813,187,67,0,0
113,1813,187,68,0,0
114,1813,187,68,0,0
115,1813,187,68,0,0
116,1813,187,67,0,0
117,1813,187,68,0,0
118,1813,187,68,0,0
119,1813,187,68,0,0
120,1813,187,67,0,0
121,1813,187,65,0,0
122,1813,187,65,0,0
123,1812,188,66,0,0
124,1812,188,64,0,0
125,1812,188,63,0,0
126,1812,188,62,0,0
127,1812,188,62,0,0
128,1812,188,64,0,0
129,1811,189,64,0,0
130,1809,191,65,0,0
131,1807,193,67,0,0
132,1807,193,67,0,0
133,1803,197,66,0,0
134,1799,201,66,0,0
135,1796,204,68,0,0
136,1795,205,67,0,0
137,1794,206,66,0,0
138,1794,206,67,0,0
139,1794,206,68,0,0
140,1793,207,67,0,0
141,1793,207,67,0,0
142,1792,208,68,0,0
143,1790,210,68,0,0
144,1790,210,67,0,0
145,1789,211,66,0,0
146,1789,211,67,0,0
147,1789,211,68,0,0
148,1789,211,69,0,0
149,1788,212,69,0,0
150,1786,214,69,0,0
151,1786,214,71,0,0
152,1786,214,70,0,0
153,1786,214,69,0,0
154,1786,214,69,0,0
155,1786,214,68,0,0
156,1786,214,68,0,0
157,1785,215,69,0,0
158,1782,218,69,0,0
159,1782,218,67,0,0
160,1781,219,67,0,0
161,1781,219,67,0,0
162,1781,219,68,0,0
163,1781,219,68,0,0
164,1781,219,67,0,0
165,1779,221,66,0,0
166,1779,221,66,0,0
167,1779,221,66,0,0
168,1778,222,66,0,0
169,1778,222,66,0,0
170,1777,223,65,0,0
171,1776,224,68,0,0
172,1775,225,67,0,0
173,1775,225,68,0,0
174,1775,225,68,0,0
175,1774,226,68,0,0
176,1773,227,68,0,0
177,1772,228,69,0,0
178,1772,228,69,0,0
179,1771,229,67,0,0
180,1768,232,67,0,0
181,1768,232,68,0,0
182,1768,232,71,0,0
183,1768,232,72,0,0
184,1768,232,70,0,0
185,1767,233,70,0,0
186,1766,234,70,0,0
187,1764,236,69,0,0
188,1763,237,69,0,0
189,1761,239,67,0,0
190,1760,240,68,0,0
191,1759,241,68,0,0
192,1759,241,68,0,0
193,1759,241,69,0,0
194,1756,244,69,0,0
195,1756,244,68,0,0
196,1756,244,67,0,0
197,1755,245,67,0,0
198,1755,245,70,0,0
199,1754,246,71,0,0
200,1753,247,70,0,0
201,1753,247,70,0,0
