time,susceptible,infected,hospital,recovered,dead
0,1954,46,0,0,0
1,1911,89,0,0,0
2,1876,124,0,0,0
3,1860,140,1,0,0
4,1848,152,1,0,0
5,1843,157,3,0,0
6,1839,161,4,0,0
7,1839,161,4,0,0
8,1839,161,5,0,0
9,1839,161,5,0,0
10,1839,161,5,0,0
11,1839,161,7,0,0
12,1839,161,7,0,0
13,1839,161,7,0,0
14,1839,161,7,0,0
15,1839,161,7,0,0
16,1839,161,7,0,0
17,1839,161,7,0,0
18,1839,161,8,0,0
19,1839,161,8,0,0
20,1839,161,8,0,0
21,1839,161,9,0,0
22,1838,162,10,0,0
23,1836,164,10,0,0
24,1835,165,11,0,0
25,1835,165,15,0,0
26,1834,166,15,0,0
27,1832,168,15,0,0
28,1827,173,16,0,0
29,1824,176,17,0,0
30,1822,178,18,0,0
31,1821,179,21,0,0
32,1821,179,21,0,0
33,1820,180,23,0,0
34,1820,180,24,0,0
35,1820,180,24,0,0
36,1817,183,24,0,0
37,1817,183,25,0,0
38,1817,183,25,0,0
39,1817,183,26,0,0
40,1817,183,28,0,0
41,1817,183,28,0,0
42,1817,183,28,0,0
43,1817,183,29,0,0
44,1817,183,30,0,0
45,1817,183,30,0,0
46,1817,183,30,0,0
47,1817,183,30,0,0
48,1816,184,30,0,0
49,1816,184,32,0,0
50,1816,184,33,0,0
51,1816,184,33,0,0
52,1816,184,33,0,0
53,1816,184,33,0,0
54,1816,184,33,0,0
55,1816,184,33,0,0
56,1816,184,34,0,0
57,1816,184,34,0,0
58,1816,184,34,0,0
59,1816,184,36,0,0
60,1816,184,36,0,0
61,1815,185,36,0,0
62,1813,187,37,0,0
63,1813,187,37,0,0
64,1813,187,38,0,0
65,1813,187,39,0,0
66,1813,187,40,0,0
67,1813,187,40,0,0
68,1813,187,40,0,0
69,1813,187,40,0,0
70,1813,187,40,0,0
71,1813,187,41,0,0
72,1813,187,43,0,0
73,1812,188,44,0,0
74,1811,189,44,0,0
75,1811,189,45,0,0
76,1811,189,47,0,0
77,1811,189,48,0,0
78,1811,189,48,0,0
79,1810,190,48,0,0
80,1807,193,49,0,0
81,1805,195,50,0,0
82,1804,196,50,0,0
83,1803,197,51,0,0
84,1802,198,51,0,0
85,1800,200,51,0,0
86,1800,200,52,0,0
87,1797,203,53,0,0
88,1791,209,54,0,0
89,1791,209,54,0,0
90,1791,209,55,0,0
91,1789,211,57,0,0
92,1789,211,57,0,0
93,1788,212,57,0,0
94,1788,212,60,0,0
95,1787,213,60,0,0
96,1786,214,61,0,0
97,1786,214,61,0,0
98,1786,214,63,0,0
99,1785,215,64,0,0
100,1785,215,64,0,0
101,1785,215,65,0,0
102,1785,215,66,0,0
103,1785,215,65,0,0
104,1784,216,65,0,0
105,1783,217,64,0,0
106,1783,217,64,0,0
107,1783,217,64,0,0
108,1783,217,66,0,0
109,1782,218,67,0,0
110,1781,219,67,0,0
111,1780,220,65,0,0
112,1776,224,65,0,0
113,1776,224,66,0,0
114,1776,224,66,0,0
115,1776,224,68,0,0
116,1775,225,69,0,0
117,1773,227,69,0,0
118,1773,227,68,0,0
119,1773,227,69,0,0
120,1773,227,70,0,0
121,1773,227,69,0,0
122,1772,228,70,0,0
123,1771,229,71,0,0
124,1771,229,70,0,0
125,1771,229,67,0,0
126,1770,230,67,0,0
127,1768,232,70,0,0
128,1768,232,70,0,0
129,1768,232,69,0,0
130,1768,232,69,0,0
131,1767,233,66,0,0
132,1766,234,66,0,0
133,1766,234,64,0,0
134,1766,234,65,0,0
135,1766,234,66,0,0
136,1765,235,67,0,0
137,1765,235,68,0,0
