time,susceptible,infected,hospital,recovered,dead
0,1951,49,0,0,0
1,1889,111,0,0,0
2,1857,143,2,0,0
3,1847,153,3,0,0
4,1842,158,4,0,0
5,1842,158,4,0,0
6,1841,159,4,0,0
7,1841,159,4,0,0
8,1841,159,5,0,0
9,1841,159,5,0,0
10,1840,160,5,0,0
11,1840,160,6,0,0
12,1840,160,8,0,0
13,1840,160,9,0,0
14,1838,162,10,0,0
15,1836,164,10,0,0
16,1836,164,11,0,0
17,1836,164,12,0,0
18,1835,165,14,0,0
19,1835,165,14,0,0
20,1834,166,14,0,0
21,1833,167,14,0,0
22,1833,167,14,0,0
23,1830,170,15,0,0
24,1829,171,15,0,0
25,1826,174,15,0,0
26,1825,175,16,0,0
27,1825,175,16,0,0
28,1825,175,18,0,0
29,1825,175,18,0,0
30,1825,175,18,0,0
31,1823,177,19,0,0
32,1820,180,19,0,0
33,1815,185,19,0,0
34,1812,188,20,0,0
35,1812,188,21,0,0
36,1812,188,21,0,0
37,1811,189,22,0,0
38,1810,190,23,0,0
39,1807,193,23,0,0
40,1807,193,26,0,0
41,1806,194,27,0,0
42,1802,198,28,0,0
43,1801,199,29,0,0
44,1797,203,30,0,0
45,1791,209,30,0,0
46,1786,214,31,0,0
47,1784,216,32,0,0
48,1781,219,33,0,0
49,1780,220,33,0,0
50,1778,222,35,0,0
51,1776,224,36,0,0
52,1776,224,36,0,0
53,1776,224,36,0,0
54,1776,224,39,0,0
55,1772,228,40,0,0
56,1771,229,40,0,0
57,1767,233,40,0,0
58,1767,233,41,0,0
59,1764,236,43,0,0
60,1762,238,45,0,0
61,1762,238,47,0,0
62,1760,240,48,0,0
63,1759,241,48,0,0
64,1758,242,48,0,0
65,1756,244,49,0,0
66,1754,246,50,0,0
67,1754,246,51,0,0
68,1754,246,51,0,0
69,1753,247,52,0,0
70,1753,247,52,0,0
71,1751,249,54,0,0
72,1751,249,54,0,0
73,1749,251,57,0,0
74,1747,253,58,0,0
75,1747,253,60,0,0
76,1747,253,63,0,0
77,1747,253,64,0,0
78,1746,254,64,0,0
79,1746,254,66,0,0
80,1746,254,68,0,0
81,1745,255,69,0,0
82,1740,260,69,0,0
83,1739,261,69,0,0
84,1739,261,71,0,0
85,1739,261,71,0,0
86,1739,261,73,0,0
87,1738,262,75,0,0
88,1738,262,75,0,0
89,1738,262,75,0,0
90,1737,263,75,0,0
91,1736,264,76,0,0
92,1735,265,77,0,0
93,1732,268,77,0,0
94,1732,268,77,0,0
95,1731,269,79,0,0
96,1731,269,80,0,0
97,1731,269,81,0,0
98,1729,271,82,0,0
99,1729,271,82,0,0
100,1727,273,83,0,0
101,1724,276,83,0,0
102,1720,280,81,0,0
103,1717,283,80,0,0
104,1715,285,80,0,0
105,1713,287,82,0,0
106,1712,288,83,0,0
107,1712,288,84,0,0
108,1712,288,84,0,0
109,1711,289,84,0,0
110,1711,289,84,0,0
