time,susceptible,infected,hospital,recovered,dead
0,1950,50,0,0,0
1,1905,95,0,0,0
2,1881,119,1,0,0
3,1861,139,1,0,0
4,1854,146,3,0,0
5,1852,148,3,0,0
6,1852,148,5,0,0
7,1852,148,5,0,0
8,1852,148,5,0,0
9,1852,148,5,0,0
10,1852,148,5,0,0
11,1852,148,6,0,0
12,1852,148,6,0,0
13,1852,148,7,0,0
14,1852,148,9,0,0
15,1852,148,9,0,0
16,1852,148,11,0,0
17,1852,148,11,0,0
18,1852,148,11,0,0
19,1852,148,11,0,0
20,1852,148,11,0,0
21,1852,148,11,0,0
22,1850,150,12,0,0
23,1848,152,12,0,0
24,1847,153,13,0,0
25,1845,155,13,0,0
26,1845,155,13,0,0
27,1845,155,14,0,0
28,1845,155,15,0,0
29,1845,155,16,0,0
30,1845,155,17,0,0
31,1845,155,17,0,0
32,1845,155,17,0,0
33,1845,155,17,0,0
34,1845,155,17,0,0
35,1845,155,17,0,0
36,1845,155,18,0,0
37,1845,155,19,0,0
38,1845,155,21,0,0
39,1845,155,21,0,0
40,1845,155,22,0,0
41,1845,155,23,0,0
42,1845,155,23,0,0
43,1845,155,23,0,0
44,1845,155,23,0,0
45,1842,158,23,0,0
46,1841,159,23,0,0
47,1841,159,23,0,0
48,1841,159,23,0,0
49,1838,162,23,0,0
50,1838,162,25,0,0
51,1838,162,25,0,0
52,1838,162,27,0,0
53,1838,162,28,0,0
54,1838,162,30,0,0
55,1838,162,30,0,0
56,1838,162,30,0,0
57,1838,162,30,0,0
58,1838,162,30,0,0
59,1838,162,32,0,0
60,1838,162,32,0,0
61,1838,162,34,0,0
62,1838,162,34,0,0
63,1838,162,34,0,0
64,1838,162,34,0,0
65,1838,162,36,0,0
66,1838,162,36,0,0
67,1837,163,36,0,0
68,1837,163,36,0,0
69,1837,163,37,0,0
70,1837,163,37,0,0
71,1836,164,38,0,0
72,1835,165,38,0,0
73,1832,168,39,0,0
74,1827,173,40,0,0
75,1822,178,40,0,0
76,1821,179,41,0,0
77,1817,183,42,0,0
78,1816,184,42,0,0
79,1814,186,42,0,0
80,1812,188,43,0,0
81,1812,188,45,0,0
82,1811,189,46,0,0
83,1810,190,46,0,0
84,1810,190,46,0,0
85,1808,192,46,0,0
86,1808,192,46,0,0
87,1808,192,46,0,0
88,1808,192,46,0,0
89,1807,193,47,0,0
90,1806,194,50,0,0
91,1803,197,51,0,0
92,1801,199,52,0,0
93,1801,199,54,0,0
94,1801,199,57,0,0
95,1801,199,58,0,0
96,1800,200,58,0,0
97,1800,200,59,0,0
98,1799,201,60,0,0
99,1798,202,61,0,0
100,1794,206,62,0,0
101,1794,206,62,0,0
102,1794,206,63,0,0
103,1794,206,64,0,0
104,1794,206,64,0,0
105,1793,207,68,0,0
106,1793,207,66,0,0
107,1793,207,67,0,0
108,1793,207,67,0,0
109,1793,207,69,0,0
110,1792,208,70,0,0
111,1790,210,69,0,0
