time,susceptible,infected,hospital,recovered,dead
0,1969,31,0,0,0
1,1932,68,1,0,0
2,1916,84,1,0,0
3,1914,86,2,0,0
4,1910,90,4,0,0
5,1908,92,4,0,0
6,1908,92,4,0,0
7,1908,92,4,0,0
8,1908,92,4,0,0
9,1908,92,5,0,0
10,1908,92,6,0,0
11,1908,92,8,0,0
12,1908,92,8,0,0
13,1908,92,8,0,0
14,1908,92,9,0,0
15,1907,93,9,0,0
16,1906,94,10,0,0
17,1903,97,10,0,0
18,1901,99,10,0,0
19,1900,100,10,0,0
20,1900,100,10,0,0
21,1900,100,11,0,0
22,1900,100,12,0,0
23,1900,100,12,0,0
24,1900,100,14,0,0
25,1900,100,14,0,0
26,1900,100,14,0,0
27,1899,101,15,0,0
28,1899,101,15,0,0
29,1899,101,15,0,0
30,1899,101,15,0,0
31,1899,101,17,0,0
32,1899,101,17,0,0
33,1899,101,17,0,0
34,1899,101,18,0,0
35,1899,101,18,0,0
36,1899,101,18,0,0
37,1898,102,19,0,0
38,1896,104,21,0,0
39,1895,105,21,0,0
40,1895,105,21,0,0
41,1895,105,21,0,0
42,1895,105,21,0,0
43,1894,106,21,0,0
44,1894,106,22,0,0
45,1893,107,22,0,0
46,1892,108,22,0,0
47,1889,111,23,0,0
48,1889,111,24,0,0
49,1889,111,25,0,0
50,1889,111,25,0,0
51,1889,111,26,0,0
52,1889,111,26,0,0
53,1889,111,26,0,0
54,1889,111,26,0,0
55,1889,111,26,0,0
56,1889,111,26,0,0
57,1889,111,27,0,0
58,1889,111,27,0,0
59,1889,111,27,0,0
60,1889,111,27,0,0
61,1889,111,27,0,0
62,1889,111,27,0,0
63,1889,111,27,0,0
64,1889,111,28,0,0
65,1888,112,28,0,0
66,1888,112,28,0,0
67,1888,112,28,0,0
68,1888,112,28,0,0
69,1888,112,29,0,0
70,1888,112,29,0,0
71,1887,113,30,0,0
72,1885,115,30,0,0
73,1885,115,30,0,0
74,1885,115,30,0,0
75,1885,115,31,0,0
76,1885,115,31,0,0
77,1885,115,32,0,0
78,1885,115,32,0,0
79,1885,115,33,0,0
80,1884,116,33,0,0
81,1884,116,34,0,0
82,1884,116,34,0,0
83,1882,118,34,0,0
84,1882,118,34,0,0
85,1878,122,34,0,0
86,1878,122,35,0,0
87,1878,122,35,0,0
88,1878,122,35,0,0
89,1878,122,35,0,0
90,1876,124,35,0,0
91,1876,124,35,0,0
92,1875,125,36,0,0
93,1875,125,36,0,0
94,1875,125,36,0,0
95,1875,125,36,0,0
96,1874,126,36,0,0
97,1873,127,37,0,0
98,1871,129,38,0,0
99,1871,129,39,0,0
100,1870,130,39,0,0
101,1870,130,38,0,0
102,1870,130,38,0,0
103,1868,132,37,0,0
104,1867,133,35,0,0
105,1867,133,35,0,0
106,1866,134,36,0,0
107,1865,135,36,0,0
108,1865,135,36,0,0
109,1864,136,36,0,0
110,1861,139,36,0,0
111,1860,140,34,0,0
112,1860,140,35,0,0
113,1857,143,36,0,0
114,1856,144,35,0,0
115,1855,145,35,0,0
116,1854,146,35,0,0
117,1849,151,35,0,0
118,1847,153,36,0,0
119,1846,154,36,0,0
120,1845,155,38,0,0
121,1844,156,37,0,0
122,1843,157,36,0,0
123,1842,158,37,0,0
124,1841,159,38,0,0
125,1841,159,39,0,0
126,1841,159,40,0,0
127,1840,160,39,0,0
128,1840,160,40,0,0
129,1839,161,41,0,0
130,1839,161,41,0,0
131,1839,161,40,0,0
132,1838,162,42,0,0
133,1837,163,42,0,0
134,1837,163,41,0,0
135,1837,163,42,0,0
136,1836,164,43,0,0
137,1835,165,43,0,0
138,1832,168,44,0,0
139,1832,168,44,0,0
140,1832,168,45,0,0
141,1832,168,47,0,0
142,1832,168,49,0,0
143,1832,168,51,0,0
144,1831,169,51,0,0
145,1831,169,51,0,0
146,1829,171,54,0,0
147,1828,172,54,0,0
148,1828,172,53,0,0
149,1828,172,52,0,0
150,1828,172,52,0,0
151,1828,172,52,0,0
152,1828,172,53,0,0
153,1828,172,54,0,0
154,1828,172,54,0,0
155,1828,172,54,0,0
156,1828,172,54,0,0
157,1828,172,54,0,0
158,1828,172,55,0,0
159,1827,173,55,0,0
160,1827,173,56,0,0
161,1827,173,56,0,0
162,1827,173,58,0,0
163,1827,173,59,0,0
164,1827,173,59,0,0
165,1827,173,59,0,0
166,1827,173,59,0,0
167,1826,174,59,0,0
168,1824,176,59,0,0
169,1823,177,59,0,0
170,1823,177,60,0,0
171,1823,177,59,0,0
172,1823,177,59,0,0
173,1823,177,60,0,0
174,1822,178,61,0,0
175,1822,178,60,0,0
176,1820,180,60,0,0
177,1820,180,59,0,0
178,1820,180,59,0,0
179,1818,182,58,0,0
180,1816,184,59,0,0
181,1812,188,58,0,0
182,1811,189,61,0,0
183,1810,190,61,0,0
184,1810,190,61,0,0
185,1810,190,61,0,0
186,1810,190,60,0,0
187,1810,190,60,0,0
188,1808,192,61,0,0
189,1807,193,61,0,0
190,1806,194,61,0,0
191,1806,194,62,0,0
192,1805,195,62,0,0
193,1802,198,62,0,0
194,1802,198,64,0,0
195,1800,200,64,0,0
196,1800,200,65,0,0
197,1800,200,64,0,0
198,1800,200,65,0,0
199,1800,200,64,0,0
200,1798,202,64,0,0
201,1798,202,65,0,0
202,1797,203,66,0,0
203,1797,203,66,0,0
204,1797,203,66,0,0
205,1797,203,67,0,0
206,1797,203,68,0,0
207,1797,203,68,0,0
208,1797,203,69,0,0
209,1797,203,69,0,0
210,1796,204,68,0,0
211,1794,206,68,0,0
212,1794,206,67,0,0
213,1792,208,66,0,0
214,1792,208,67,0,0
215,1792,208,67,0,0
216,1791,209,68,0,0
217,1790,210,69,0,0
218,1790,210,69,0,0
219,1789,211,69,0,0
220,1789,211,68,0,0
221,1789,211,69,0,0
222,1788,212,70,0,0
223,1788,212,69,0,0
224,1786,214,67,0,0
225,1786,214,67,0,0
226,1785,215,67,0,0
227,1785,215,67,0,0
228,1784,216,66,0,0
229,1784,216,65,0,0
230,1784,216,66,0,0
231,1784,216,67,0,0
232,1783,217,65,0,0
233,1782,218,65,0,0
234,1782,218,65,0,0
235,1782,218,65,0,0
236,1782,218,64,0,0
237,1782,218,63,0,0
238,1782,218,61,0,0
239,1782,218,61,0,0
240,1782,218,61,0,0
241,1782,218,61,0,0
242,1782,218,59,0,0
243,1781,219,59,0,0
244,1781,219,58,0,0
245,1778,222,60,0,0
246,1778,222,58,0,0
247,1778,222,59,0,0
248,1778,222,60,0,0
249,1777,223,60,0,0
250,1776,224,61,0,0
251,1776,224,61,0,0
252,1776,224,60,0,0
253,1776,224,61,0,0
254,1775,225,62,0,0
255,1775,225,62,0,0
256,1774,226,62,0,0
257,1772,228,61,0,0
258,1772,228,60,0,0
259,1772,228,61,0,0
260,1771,229,62,0,0
261,1769,231,63,0,0
262,1768,232,64,0,0
263,1768,232,64,0,0
264,1768,232,63,0,0
265,1766,234,65,0,0
266,1765,235,67,0,0
267,1765,235,67,0,0
268,1765,235,68,0,0
269,1765,235,67,0,0
270,1765,235,66,0,0
271,1765,235,67,0,0
272,1763,237,70,0,0
273,1763,237,69,0,0
274,1762,238,69,0,0
275,1761,239,69,0,0
276,1761,239,69,0,0
277,1760,240,70,0,0
278,1760,240,70,0,0
279,1760,240,73,0,0
280,1759,241,72,0,0
281,1755,245,73,0,0
282,1753,247,70,0,0
283,1752,248,71,0,0
284,1751,249,72,0,0
285,1751,249,72,0,0
286,1750,250,72,0,0
287,1748,252,72,0,0
288,1747,253,72,0,0
289,1747,253,72,0,0
290,1747,253,72,0,0
291,1747,253,72,0,0
292,1747,253,73,0,0
293,1746,254,75,0,0
294,1744,256,73,0,0
295,1743,257,74,0,0
296,1742,258,73,0,0
297,1741,259,74,0,0
298,1739,261,74,0,0
299,1737,263,77,0,0
300,1737,263,81,0,0
301,1736,264,81,0,0
302,1733,267,80,0,0
303,1732,268,81,0,0
304,1731,269,83,0,0
305,1731,269,84,0,0
306,1730,270,83,0,0
307,1727,273,86,0,0
308,1727,273,86,0,0
309,1726,274,89,0,0
310,1726,274,90,0,0
311,1724,276,91,0,0
312,1722,278,92,0,0
313,1720,280,92,0,0
314,1719,281,92,0,0
315,1718,282,92,0,0
316,1717,283,91,0,0
317,1717,283,92,0,0
318,1716,284,91,0,0
319,1716,284,91,0,0
320,1716,284,90,0,0
321,1716,284,89,0,0
322,1714,286,89,0,0
323,1714,286,90,0,0
324,1711,289,91,0,0
325,1711,289,92,0,0
326,1711,289,94,0,0
327,1711,289,95,0,0
328,1711,289,96,0,0
329,1711,289,96,0,0
330,1710,290,96,0,0
331,1708,292,96,0,0
332,1707,293,98,0,0
333,1707,293,99,0,0
334,1707,293,100,0,0
335,1706,294,101,0,0
336,1706,294,101,0,0
337,1706,294,102,0,0
338,1706,294,104,0,0
339,1706,294,104,0,0
340,1706,294,105,0,0
341,1705,295,103,0,0
342,1704,296,105,0,0
343,1704,296,104,0,0
344,1704,296,104,0,0
345,1704,296,102,0,0
346,1703,297,104,0,0
347,1703,297,103,0,0
348,1701,299,103,0,0
